planet_name,actual_radius,actual_mass,actual_temp,actual_esi,actual_habitability,predicted_mass,predicted_temp,predicted_esi,predicted_habitability,mass_error,temp_error,esi_error
AU Mic b,0.4273,0.028,569.5,0.3530153952703596,Low,0.09558384287717936,472.73331547930485,0.47258071286050585,Low,-0.06758384287717936,96.76668452069515,-0.11956531759014627
AU Mic c,0.2248,0.0456,436.0,0.30788983812075615,Low,-0.09292167221271452,374.7693526378033,0.02685113532862833,Low,0.13852167221271453,61.23064736219669,0.28103870279212784
BD+20 594 b,0.23,0.07,386.0,0.3465211501845003,Low,1.2952468473817595,526.5495875979454,0.516027894664616,Moderate,-1.2252468473817595,-140.54958759794545,-0.16950674448011566
CoRoT-22 b,0.4354,0.06,885.0,0.39527118394961247,Low,0.8113317185364836,965.1787143252874,0.6277313561764272,Moderate,-0.7513317185364836,-80.17871432528739,-0.2324601722268147
CoRoT-24 b,0.33,0.018,1070.0,0.2619489951673642,Low,0.48974952199953214,935.1239764163262,0.5239017919073552,Moderate,-0.47174952199953213,134.87602358367383,-0.261952796739991
CoRoT-24 c,0.44,0.088,850.0,0.43349871511260396,Low,0.59215843039935,725.1116249511165,0.630205682467936,Moderate,-0.50415843039935,124.88837504888352,-0.196706967355332
CoRoT-27 b,1.007,10.39,1500.0,0.5333134437058851,Moderate,1.2855163167534793,1485.3900036530267,0.7729105666188396,Moderate,9.10448368324652,14.609996346973276,-0.23959712291295454
CoRoT-32 b,0.57,0.15,938.0,0.5259406652234349,Moderate,0.9259922965159147,1144.5388467141895,0.6882119794777526,Moderate,-0.7759922965159147,-206.5388467141895,-0.16227131425431773
CoRoT-35 b,1.68,1.1,1747.0,0.6502020585094067,Moderate,1.864743876806501,1783.616074446197,0.6032260280145939,Moderate,-0.7647438768065009,-36.61607444619699,0.046976030494812804
CoRoT-36 b,1.41,0.68,1567.0,0.6778692152096023,Moderate,1.97991043538901,1788.2195563439825,0.6348006823646735,Moderate,-1.2999104353890099,-221.2195563439825,0.04306853284492884
EPIC 205084841 b,1.561,0.3883,979.0,0.6490782340375137,Moderate,1.5647992821563328,729.716452279325,0.7319937892736181,Moderate,-1.1764992821563327,249.28354772067496,-0.08291555523610439
G 9-40 b,0.17,0.013,440.6,0.203150269323634,Low,-0.39223454243072386,466.14141841804053,0.02290381244258823,Low,0.4052345424307239,-25.541418418040507,0.18024645688104576
GJ 1018 b,0.1356,0.00843,458.0,0.1638219533486243,Low,-0.2622802770239674,417.9180559085575,0.020752340733034533,Low,0.2707102770239674,40.081944091442494,0.14306961261558976
GJ 1132 b,0.1035,0.00522,580.0,0.12413220589383843,Low,-0.5830177074509825,632.6785823566959,0.01714835842370256,Low,0.5882377074509825,-52.67858235669587,0.10698384747013587
GJ 1252 b,0.1053,0.00415,997.0,0.1098666110082391,Low,-0.3448801813415152,1002.9570122441281,0.016170614051624264,Low,0.3490301813415152,-5.957012244128123,0.09369599695661485
GJ 143 c,0.07958,0.01164,703.0,0.12653479300497508,Low,0.07927958896665,717.6581790569605,0.1932447538769984,Low,-0.06763958896665,-14.658179056960535,-0.06670996087202333
GJ 3090 b,0.19,0.01051,692.0,0.19249317936853746,Low,-0.10286843172557181,643.7311870181379,0.02316744023676717,Low,0.11337843172557181,48.268812981862084,0.1693257391317703
GJ 341 b,0.0821,0.00227,540.0,0.09174978771417858,Low,-0.19976539476983346,473.4980849642318,0.015784026939297372,Low,0.20203539476983345,66.5019150357682,0.07596576077488121
GJ 3470 b,0.38826,0.0437,590.0,0.3731122104549487,Low,0.07105868777778546,616.8275735919677,0.41228902761997077,Low,-0.027358687777785454,-26.827573591967735,-0.03917681716502208
GJ 3473 Ab,0.11277,0.00585,773.0,0.12791688731042528,Low,-0.36275407993684083,692.5661378505398,0.017697514340679826,Low,0.36860407993684086,80.4338621494602,0.11021937296974545
GJ 357 b,0.10411,0.006566,525.0,0.13294424007786482,Low,-0.39209523367868926,565.7032461076635,0.01746226865733578,Low,0.3986612336786893,-40.70324610766352,0.11548197142052904
GJ 367  b,0.0526,0.001718,1416.0,0.05871785709763591,Low,-0.3076317917884076,1214.4946138118846,0.010859693405927323,Low,0.3093497917884076,201.50538618811538,0.04785816369170859
GJ 3929 b,0.1026,0.00381,569.0,0.1152712404095572,Low,-0.43251847393362586,576.5962478607548,0.017287073019578963,Low,0.43632847393362584,-7.596247860754829,0.09798416738997824
GJ 436 b,0.32519,0.05836,580.0,0.3697983980856983,Low,-0.05623032227320679,720.3710462425645,0.029134258425084582,Low,0.11459032227320678,-140.3710462425645,0.3406641396606137
GJ 486 b,0.11643,0.00887,700.0,0.1450408969055867,Low,-0.4030922356607333,656.1266486342006,0.01812572471187473,Low,0.4119622356607333,43.87335136579941,0.12691517219371196
GJ 9827 b,0.13641,0.01532,1043.5,0.1676248727196541,Low,0.012765190946191551,1214.8633178908517,0.15698249425553837,Low,0.002554809053808449,-171.3633178908517,0.010642378464115726
GJ 9827 c,0.107,0.00604,721.9,0.12667018851235906,Low,-0.014611505768792221,782.8660907124586,0.016925673904532514,Low,0.02065150576879222,-60.966090712458595,0.10974451460782655
GJ 9827 d,0.17441,0.01076,604.9,0.18918823953026362,Low,0.04814519461383171,644.8401689238317,0.262503879324972,Low,-0.03738519461383171,-39.94016892383172,-0.07331563979470837
Gliese 12 b,0.0919,0.00494,287.0,0.12504415083068257,Low,-0.5228679007966526,347.7121582389833,0.01736128624895523,Low,0.5278079007966525,-60.71215823898331,0.10768286458172734
HAT-P-11 b,0.389,0.0736,750.0,0.4044716967123741,Low,0.4252608666767327,858.2548100269385,0.5561325250594028,Moderate,-0.3516608666767327,-108.25481002693846,-0.1516608283470287
HAT-P-13 b,1.44,0.9,1700.0,0.6882963478188469,Moderate,1.8896047441965056,1439.364134642965,0.6586074984860397,Moderate,-0.9896047441965056,260.6358653570351,0.029688849332807132
HAT-P-17 b,0.98,0.571,804.0,0.8129605147918889,High,1.0322003728648124,803.4641397635434,0.8717139629235111,High,-0.4612003728648124,0.5358602364566423,-0.0587534481316222
HAT-P-18 Ab,0.947,0.183,841.0,0.656943257851293,Moderate,0.898613869375959,863.777096568627,0.8462468964092942,High,-0.715613869375959,-22.77709656862703,-0.18930363855800114
HAT-P-1 Bb,1.319,0.525,1322.0,0.6867623325604358,Moderate,1.6953830919161894,1460.2022123183574,0.6872678343702192,Moderate,-1.1703830919161895,-138.2022123183574,-0.0005055018097833708
HAT-P-26 b,0.57,0.0585,590.0,0.46149011900264253,Low,0.6020360400396744,992.2128714353435,0.6650839526555439,Moderate,-0.5435360400396744,-402.21287143534346,-0.20359383365290135
